images,class
01/000000.png,1
01/000001.png,1
00/000002.png,0
00/000003.png,0
00/000004.png,0
00/000005.png,0
00/000006.png,0
00/000007.png,0
00/000008.png,0
00/000009.png,0
00/000010.png,0
00/000011.png,0
00/000012.png,0
01/000013.png,1
00/000014.png,0
00/000015.png,0
01/000016.png,1
00/000017.png,0
00/000018.png,0
00/000019.png,0
00/000020.png,0
01/000021.png,1
01/000022.png,1
01/000023.png,1
00/000024.png,0
00/000025.png,0
01/000026.png,1
00/000027.png,0
00/000028.png,0
00/000029.png,0
00/000030.png,0
01/000031.png,1
00/000032.png,0
00/000033.png,0
00/000034.png,0
00/000035.png,0
00/000036.png,0
00/000037.png,0
01/000038.png,1
00/000039.png,0
00/000040.png,0
00/000041.png,0
00/000042.png,0
00/000043.png,0
00/000044.png,0
01/000045.png,1
01/000046.png,1
01/000047.png,1
00/000048.png,0
00/000049.png,0
01/000050.png,1
00/000051.png,0
00/000052.png,0
00/000053.png,0
00/000054.png,0
00/000055.png,0
00/000056.png,0
00/000057.png,0
00/000058.png,0
00/000059.png,0
01/000060.png,1
00/000061.png,0
01/000062.png,1
01/000063.png,1
00/000064.png,0
01/000065.png,1
01/000066.png,1
00/000067.png,0
00/000068.png,0
00/000069.png,0
00/000070.png,0
01/000071.png,1
00/000072.png,0
00/000073.png,0
00/000074.png,0
00/000075.png,0
00/000076.png,0
00/000077.png,0
01/000078.png,1
01/000079.png,1
00/000080.png,0
00/000081.png,0
01/000082.png,1
00/000083.png,0
00/000084.png,0
00/000085.png,0
01/000086.png,1
00/000087.png,0
00/000088.png,0
00/000089.png,0
01/000090.png,1
00/000091.png,0
00/000092.png,0
00/000093.png,0
00/000094.png,0
00/000095.png,0
00/000096.png,0
00/000097.png,0
00/000098.png,0
01/000099.png,1
00/000100.png,0
00/000101.png,0
00/000102.png,0
01/000103.png,1
00/000104.png,0
00/000105.png,0
00/000106.png,0
00/000107.png,0
00/000108.png,0
00/000109.png,0
00/000110.png,0
00/000111.png,0
00/000112.png,0
00/000113.png,0
00/000114.png,0
01/000115.png,1
00/000116.png,0
01/000117.png,1
00/000118.png,0
00/000119.png,0
01/000120.png,1
01/000121.png,1
00/000122.png,0
01/000123.png,1
00/000124.png,0
00/000125.png,0
00/000126.png,0
01/000127.png,1
01/000128.png,1
00/000129.png,0
00/000130.png,0
00/000131.png,0
00/000132.png,0
00/000133.png,0
00/000134.png,0
00/000135.png,0
00/000136.png,0
00/000137.png,0
01/000138.png,1
00/000139.png,0
01/000140.png,1
00/000141.png,0
00/000142.png,0
00/000143.png,0
00/000144.png,0
00/000145.png,0
01/000146.png,1
00/000147.png,0
00/000148.png,0
00/000149.png,0
00/000150.png,0
00/000151.png,0
00/000152.png,0
00/000153.png,0
00/000154.png,0
00/000155.png,0
00/000156.png,0
00/000157.png,0
01/000158.png,1
00/000159.png,0
00/000160.png,0
00/000161.png,0
00/000162.png,0
00/000163.png,0
00/000164.png,0
00/000165.png,0
00/000166.png,0
00/000167.png,0
00/000168.png,0
00/000169.png,0
00/000170.png,0
00/000171.png,0
00/000172.png,0
01/000173.png,1
00/000174.png,0
01/000175.png,1
00/000176.png,0
00/000177.png,0
00/000178.png,0
00/000179.png,0
00/000180.png,0
00/000181.png,0
00/000182.png,0
01/000183.png,1
00/000184.png,0
01/000185.png,1
00/000186.png,0
01/000187.png,1
00/000188.png,0
