Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.7845420857596612,0.7845771550005226,,0.7843098002958152,0.33405494689941406
RandomForestClassifier,0.7715722604552674,0.7715818129387046,,0.7715548950903296,0.6555290222167969
NuSVC,0.7697194282689254,0.7697662511486507,,0.7692740739579004,3.068824529647827
SVC,0.7683959767072525,0.7684475622541382,,0.767851385703119,2.7532997131347656
AdaBoostClassifier,0.7649550026469031,0.764986126512863,,0.7647556491170809,0.4587516784667969
LogisticRegression,0.7580730545262043,0.7581103360491794,,0.7577774418806588,0.05949902534484863
LinearSVC,0.7578083642138698,0.7578526515441313,,0.757389478371178,0.49908018112182617
CalibratedClassifierCV,0.7578083642138698,0.7578470466609328,,0.7574895492552276,0.11922836303710938
LinearDiscriminantAnalysis,0.7575436739015352,0.7575927250858038,,0.7570283837800321,0.06351923942565918
RidgeClassifierCV,0.7575436739015352,0.7575927250858038,,0.7570283837800321,0.06052136421203613
RidgeClassifier,0.7575436739015352,0.7575927250858038,,0.7570283837800321,0.07052159309387207
KNeighborsClassifier,0.7538380095288513,0.7538562297015652,,0.7537674184709676,0.07951521873474121
ExtraTreesClassifier,0.7472207517204871,0.7472241115349337,,0.7472186796437396,0.6666309833526611
BaggingClassifier,0.7461619904711487,0.7462034623044982,,0.7457771974221402,0.19153738021850586
QuadraticDiscriminantAnalysis,0.7376919004764425,0.7376739510531155,,0.7376143044013648,0.05301308631896973
SGDClassifier,0.7366331392271043,0.736635366196445,,0.7366323088975535,0.08099937438964844
LabelSpreading,0.7361037586024352,0.7361250415812273,,0.7359997941048673,3.233548641204834
BernoulliNB,0.735574377977766,0.7355945393864951,,0.7354810318158594,0.05100417137145996
LabelPropagation,0.7334568554790895,0.7334798169557245,,0.7333343547339369,2.768820285797119
NearestCentroid,0.7316040232927475,0.7316351097730387,,0.7313763831134236,0.047514915466308594
GaussianNB,0.7199576495500265,0.7199164199817449,,0.7195272923517941,0.04900169372558594
Perceptron,0.7138697723663314,0.7139414743701302,,0.7125604533806007,0.04399824142456055
ExtraTreeClassifier,0.7053996823716252,0.7053979509107515,,0.7053987535671871,0.05001425743103027
DecisionTreeClassifier,0.6908417151932239,0.6908251144727332,,0.6907638051146109,0.0635075569152832
PassiveAggressiveClassifier,0.5886712546320805,0.588673035495445,,0.588670332452251,0.044513702392578125
DummyClassifier,0.4994706193753309,0.5,,0.332745298768314,0.03900575637817383
